2018-08-21 21:12:45 status installed dpkg:amd64 1.19.0.5ubuntu2
2018-08-21 21:12:45 startup archives install
2018-08-21 21:12:45 install libc6:amd64 <none> 2.27-3ubuntu1
2018-08-21 21:12:45 status half-installed libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:46 status unpacked libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:46 status unpacked libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:46 configure libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2018-08-21 21:12:46 status unpacked libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:46 status unpacked libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:46 status half-configured libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:46 status installed libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:46 startup archives install
2018-08-21 21:12:46 install perl-base:amd64 <none> 5.26.1-6
2018-08-21 21:12:46 status half-installed perl-base:amd64 5.26.1-6
2018-08-21 21:12:46 status unpacked perl-base:amd64 5.26.1-6
2018-08-21 21:12:46 status unpacked perl-base:amd64 5.26.1-6
2018-08-21 21:12:46 configure perl-base:amd64 5.26.1-6 5.26.1-6
2018-08-21 21:12:46 status unpacked perl-base:amd64 5.26.1-6
2018-08-21 21:12:46 status half-configured perl-base:amd64 5.26.1-6
2018-08-21 21:12:46 status installed perl-base:amd64 5.26.1-6
2018-08-21 21:12:46 startup archives install
2018-08-21 21:12:46 install mawk:amd64 <none> 1.3.3-17ubuntu3
2018-08-21 21:12:46 status half-installed mawk:amd64 1.3.3-17ubuntu3
2018-08-21 21:12:46 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-08-21 21:12:46 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-08-21 21:12:46 configure mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-08-21 21:12:46 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-08-21 21:12:46 status half-configured mawk:amd64 1.3.3-17ubuntu3
2018-08-21 21:12:46 status installed mawk:amd64 1.3.3-17ubuntu3
2018-08-21 21:12:46 startup archives unpack
2018-08-21 21:12:46 upgrade base-files:amd64 10.1ubuntu2 10.1ubuntu2
2018-08-21 21:12:46 status half-configured base-files:amd64 10.1ubuntu2
2018-08-21 21:12:46 status unpacked base-files:amd64 10.1ubuntu2
2018-08-21 21:12:46 status half-installed base-files:amd64 10.1ubuntu2
2018-08-21 21:12:46 status half-installed base-files:amd64 10.1ubuntu2
2018-08-21 21:12:46 status unpacked base-files:amd64 10.1ubuntu2
2018-08-21 21:12:46 status unpacked base-files:amd64 10.1ubuntu2
2018-08-21 21:12:46 upgrade base-passwd:amd64 3.5.44 3.5.44
2018-08-21 21:12:46 status half-configured base-passwd:amd64 3.5.44
2018-08-21 21:12:46 status unpacked base-passwd:amd64 3.5.44
2018-08-21 21:12:46 status half-installed base-passwd:amd64 3.5.44
2018-08-21 21:12:47 status half-installed base-passwd:amd64 3.5.44
2018-08-21 21:12:47 status unpacked base-passwd:amd64 3.5.44
2018-08-21 21:12:47 status unpacked base-passwd:amd64 3.5.44
2018-08-21 21:12:47 install bash:amd64 <none> 4.4.18-2ubuntu1
2018-08-21 21:12:47 status half-installed bash:amd64 4.4.18-2ubuntu1
2018-08-21 21:12:47 status unpacked bash:amd64 4.4.18-2ubuntu1
2018-08-21 21:12:47 status unpacked bash:amd64 4.4.18-2ubuntu1
2018-08-21 21:12:47 install bsdutils:amd64 <none> 1:2.31.1-0.4ubuntu3
2018-08-21 21:12:47 status half-installed bsdutils:amd64 1:2.31.1-0.4ubuntu3
2018-08-21 21:12:47 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2018-08-21 21:12:47 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2018-08-21 21:12:47 install coreutils:amd64 <none> 8.28-1ubuntu1
2018-08-21 21:12:47 status half-installed coreutils:amd64 8.28-1ubuntu1
